id;name;primary_focus;url;ai_integration;de_novo;optimization;properties_prediction;bioactivity_prediction;synthesizability;target_fishing;docking;retrosynthesis;virtual_screening;chemical_space_map;representation;other_functions;access_type;company
1;BMaps;Fragment-Based Drug Design;https://app.boltzmannmaps.com/app/bmaps.html?preview=;false;false;true;true;false;false;false;true;false;false;true;2D;Water/Hot-Spot Mapping, Energy Minimization;open;none
2;XunDrug;Drug design (Property Prediction + Structure-based design);https://xundrug.cn/;false;true;true;true;false;false;false;false;false;false;false;2D, 3D;"Structure-based drug design by fragment replacement/molecular hybridization/fragment growing; Structure based macrocycle design; ";open;none
3;WADDAICA;Modification/design of new novel drugs;https://heisenberg.ucam.edu:5000/;false;true;true;true;false;false;false;true;false;false;false;3D;-;open;none
4;LigAdvisor;De Novo Ligand Design ;https://ligadvisor.unimore.it/;false;false;false;false;false;false;true;false;false;false;false;false;"Ligand-design; Hit and lead optimization; Drug repurposing; Polypharmacology ligand-Based profiling";open;none
5;DrugFlow;De Novo Design, Molecular Optimization, and Virtual Screening;https://drugflow.com/#/;true;true;true;true;true;true;false;true;false;false;true;2D,3D;-;open;none
6;MolProphet;De Novo Design, Molecular Optimization, and Virtual Screening;https://app.molprophet.com/login;false;false;true;true;false;false;false;true;true;true;true;2D, 3D;"Scaffold Hopping; Fragment Optimization; R-goup Optimization";open;none
7;SwissSimilarity;Virtual Screening;http://www.swisssimilarity.ch/index.php;false;false;false;false;false;true;false;false;false;true;false;false;-;open;none
8;PacDOCK;Analysis of docking results;https://pegasus.lbic.unibo.it/pacdock/index.php;false;false;false;false;false;false;false;false;false;false;false;3D;Comparison of molecular conformations, luster analysis of docking results;open;none
9;SwissDock;Docking;https://www.swissdock.ch/index.php;false;false;false;false;false;false;false;true;false;false;false;2D, 3D;-;open;none
10;DrugRep;Virtual Screening for Drug Repurposing;http://cao.labshare.cn/drugrep/;false;false;false;false;false;false;false;true;false;true;false;3D;-;open;none
11;Qsarna;Docking, Virtual Screening;https://qsarna.com;true;false;false;true;false;false;false;true;false;true;false;2D;Fragment-Based Drug Design, Collaboration support, User management;open;none
12;SeamDock;Docking tools for small molecules;https://bioserv.rpbs.univ-paris-diderot.fr/services/SeamDock/;false;false;false;false;false;false;false;true;false;false;false;3D;-;open;none
13;MolMod;Molecular Property Optimization via fragment-based generation;http://software.tdd-lab.com/molmod;false;false;true;true;false;false;false;false;false;false;false;false;-;open;none
14;CODD-Pred;Optimization of small molecules with specific target activity;https://fca_icdb.mpu.edu.mo/codd/;false;false;false;true;false;false;true;false;false;false;false;2D;-;open;none
15;ChemMORT;Multi-parameter optimization;https://cadd.nscc-tj.cn/deploy/chemmort/;false;false;true;true;false;false;false;false;false;false;false;2D;"SMILES Encoder;";open;none
16;DeepFrag;Ligand/Lead Optimization, Fragment Linking;https://durrantlab.pitt.edu/deepfrag/;false;false;true;false;false;false;false;false;false;false;false;2D, 3D;Add novel fragments to an identified lead;open;none
17;MolFrag;Molecular Fragmentation ;https://dpai.ccnu.edu.cn/MolFrag/#/service/molFrag;false;false;false;true;false;false;false;false;false;false;false;2D;-;open;none
18;DREAMM;Prediction of protein–membrane interfaces and nearby binding pockets;https://dreamm.ni4os.eu/;false;false;false;false;false;false;true;false;false;false;false;3D;-;open;none
19;InDeepNet;Protein-protein interaction drug discovery;https://indeep-net.gpu.pasteur.cloud/;false;false;false;false;false;false;false;false;false;false;false;false;" Target structural properties prediction; Protein binding site prediction";open;none
20;DockThor-VS;Docking-based virtual screening for peptides;https://dockthor.lncc.br/v2/;false;false;false;false;true;false;false;true;false;true;false;3D;"Ranking of protein-ligand complexes;  Inspection of the intermolecular interaction with neighborhood residues";open;none
21;PASSer;Allosteric Site Prediction;https://passer.smu.edu/;false;false;false;false;false;false;true;false;false;false;false;3D;;open;none
22;cPEPmatch;Cyclic peptide design;https://t38webservices.nat.tum.de/cpepmatch/;false;true;false;false;true;false;true;false;false;false;false;3D;"Hotspot/interface residue selection; Side-chain mutation & refinement;
Filtering for structural similarity; Optional evaluation for binding stability";open;none
23;PrankWeb;Ligand-binding site prediction for Proteins;https://prankweb.cz/;false;false;false;false;true;false;true;false;false;false;true;2D, 3D;-;open;none
24;OptADMET;Lead optimization (ADMET-driven);https://cadd.nscc-tj.cn/deploy/optadmet/;false;false;true;true;false;false;false;false;false;false;false;2D;-;open;none
25;admetSAR3.0;Chemical ADMET assessment;http://lmmd.ecust.edu.cn/admetsar3/;false;false;true;true;false;false;false;false;false;false;false;2D;-;open;none
26;MolPredictX;Bioactivity prediction against multiple pathogens/targets;https://www.molpredictX.ufpb.br/;false;false;false;false;true;false;false;false;false;false;false;false;-;open;none
27;CidalsDB;Anti-(specific)pathogen biological Activity Prediction;https://cidalsdb.streamlit.app/;false;false;false;false;true;false;false;false;false;false;false;3D;-;open;none
28;DyeLeS;Prediction of fluorescence properties;https://dyeles.molastra.com/;false;false;false;true;false;false;false;false;false;false;false;2D;-;open;none
29;SwissADME;Computing physicochemical descriptors and predicting ADME parameters;http://www.swissadme.ch/index.php;false;false;false;true;false;false;false;false;false;false;false;2D;-;open;none
